Номенклатура,,,,Персональный номер,Причина претензии,Описание дефекта,Поставщик,Ответственность за брак,Переместить на склад,Док перемещения,Склад обнаружения,Претензия,Номер отправления,Вид дефекта,,,
50 Пенал-шкаф «Retro 50» универсальный,,,,д5977,заводской брак,вырваны петли,ГЭОС,Поставщик,Склад РВП Возврат поставщику и некомплект,,Склад РВП ОСНОВНОЙ,,,Существенный,1,,"8 990,00"
"105 Тумба ""Sofa"" (ум. Дуглас 1050/ Виктория 1000)",,,,д5979,заводской брак,перекошенная,Овчинникова Марина Николаевна ИП (FSC),Поставщик,Склад РВП Возврат поставщику и некомплект,,Склад РВП ОСНОВНОЙ,,,Существенный,1,,"8 930,90"
"105 Тумба ""Taylor 105"" (ум. Дуглас 105/Виктория-100) с сифоном",,,,д5987,заводской брак,отслоения пленки,ДОМ МЕБЕЛИ ООО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Склад РВП ОСНОВНОЙ,,,Существенный,1,,"10 917,73"
"40 Пенал-шкаф ""Taylor 40""",,,,д5986,заводской брак,отслоения пленки,ДОМ МЕБЕЛИ ООО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Склад РВП ОСНОВНОЙ,,,Существенный,1,,"9 252,31"
"T2334 Бачок для унитаза-компакта, арматура",,,,д6112,бой при хранении (клиент),бой,Китай - Виландор,Клиент,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000085 от 10.09.2025 9:01:13,Склад РВП ОСНОВНОЙ,,,Существенный,1,,"1 781,47"
"70 Умывальник ""Фостер 700""",,,,д6202,заводской брак,недолив глазури,Кировская керамика АО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002060 от 12.09.2025 10:27:41,,Существенный,1,,"3 423,05"
"100 Тумба ""Michael 100"" (ум. Грэмми 1000), цвет белый",,,,д6209,не комплект поставщик,нет фурнитуры,ГЭОС,Поставщик,Склад РВП Возврат поставщику и некомплект,,Склад РВП ОСНОВНОЙ,,,Существенный,1,,"7 990,00"
"Унитаз-моноблок SM9601R безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д6208,заводской брак,течь,Китай - Смув,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000085 от 10.09.2025 9:01:13,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 237,72"
"A2104 Бачок для унитаза-компакта, арматура",,,,д6207,заводской брак,скол под крышкой,Китай - Хангпай,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,,,Существенный,1,,"1 495,60"
"A2104 Унитаз, сиденье ДП, крепления (без бачка)",,,,д6205,заводской брак,течь ,Китай - Хангпай,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000085 от 10.09.2025 9:01:13,Склад РВП ОСНОВНОЙ,,,Существенный,1,,"3 514,67"
"Дозатор для жидкого мыла Zenfort коллекция ""Неаполь"", полирезина",,,,д6296,заводской брак,трещина,ТОВАРЫ ДЛЯ ДОМА ООО,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000093 от 26.09.2025 8:55:56,Склад РВП ОСНОВНОЙ,,,Существенный,1,,"356,00"
Унитаз-компакт Дора (Старый Оскол) гориз.выпуск,,,,д6295,заводской брак,течь,Строй Керамика Сервис,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000093 от 26.09.2025 8:55:56,Склад РВП ОСНОВНОЙ,,,Существенный,1,,"4 797,52"
"105 Тумба ""Taylor 105"" (ум. Дуглас 105/Виктория-100) с сифоном",,,,д6345,заводской брак,отслоение пленки ,ДОМ МЕБЕЛИ ООО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Склад РВП ОСНОВНОЙ,,,Существенный,1,,"10 917,73"
"70 Тумба ""Fantasy 70"" 2ящ. белое дерево ( ум. ""Фостер 700""/COMO 70)",,,,д6359,бой при хранении (клиент),бой боковой стенки ,Ротачев С.А.,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000093 от 26.09.2025 8:55:56,Склад РВП ОСНОВНОЙ,,,Существенный,1,,"5 973,84"
500 Стол под мойку - Кашемир (мойка 50*50),,,,д6479,заводской брак,скол боковой стенки ,Ротачев С.А.,Поставщик,Склад РВП Возврат поставщику и некомплект,,Склад РВП ОСНОВНОЙ,,,Существенный,1,,"1 666,45"
"Унитаз-моноблок SM9608, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д6486,заводской брак,течь,Китай - Смув,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000093 от 26.09.2025 8:55:56,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 855,23"
"40 Пенал-шкаф ""Taylor 40""",,,,д6538,заводской брак,отслоение пленки+порвана упаковка ,ДОМ МЕБЕЛИ ООО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Склад РВП ОСНОВНОЙ,,,Существенный,1,,"10 267,20"
Ванна ГМ 1505*1505*700 с насосом OLB-840 с переливом,,,,д6555,заводской брак,"нет упаковки,следы использования,трещина на трубе ",Китай - Олуба,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000093 от 26.09.2025 8:55:56,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002084 от 06.10.2025 9:23:05,,Существенный,1,,"31 066,27"
"Унитаз подвесной K505 безободковый, сиденье тонкое ДП, крепления",,,,д6542,заводской брак,хол.треск,Китай - Виздом,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000096 от 14.10.2025 8:44:18,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002093 от 07.10.2025 11:19:25,,Существенный,1,,"3 924,21"
"Унитаз подвесной K505 безободковый, сиденье тонкое ДП, крепления",,,,д6543,заводской брак,хол.треск,Китай - Виздом,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000096 от 14.10.2025 8:44:18,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002093 от 07.10.2025 11:19:25,,Существенный,1,,"3 924,21"
"Унитаз подвесной K505 безободковый, сиденье тонкое ДП, крепления",,,,д6541,заводской брак,хол.треск,Китай - Виздом,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000096 от 14.10.2025 8:44:18,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002093 от 07.10.2025 11:19:25,,Существенный,1,,"3 924,21"
"105 Умывальник ""Стиль 1050""",,,,д6573,заводской брак,перелив керамики с задней планки,Кировская керамика АО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002074 от 29.09.2025 10:27:02,,Существенный,1,,"4 992,90"
"Дверь к зеркалу ""Калипсо 60-1"" ",,,,д6090,заводской брак,отслоение пленки ,Овчинникова Марина Николаевна ИП (FSC),Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000085 от 10.09.2025 9:01:13,Склад РВП ОСНОВНОЙ,,,Существенный,2,,"903,32"
"Зеркало Фортуна прямоугольное 800х600 (LED-подсветка, сенсорный выключатель)",,,,д6091,бой\скол от поставщика,бой приход ,Мир зеркал ООО,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000085 от 10.09.2025 9:01:13,Склад РВП ОСНОВНОЙ,,,Существенный,1,,"4 674,00"
Ванна ГМ 1200*1700*650 с насосом OLB-807 L с переливом,,,,д6084,заводской брак,(распор 2384)потертость и выпуклость на видимой стороне возле форсунки,Китай - Олуба,Поставщик,Склад РВП Возврат поставщику и некомплект,Списание недостач товаров ГФУТ-000105 от 31.10.2025 9:39:35,Склад РВП комплектующие транзит,Претензия поставщику 000002084 от 06.10.2025 9:23:05,,Существенный,1,,"28 952,12"
